
> trax-gui@0.0.1 preview
> vite preview

ERROR: Using default session secret key. This is not secure and should be changed in production.
ERROR: Using default admin password. This is not secure and should be changed in production.
2025-12-11T01:45:12.770Z [DEBUG] [TRAX]  Downloading https://gtfsrt.api.translink.com.au/GTFS/SEQ_GTFS.zip...
2025-12-11T01:46:07.359Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:46:07.653Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:46:07.653Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:46:07.653Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:47:09.196Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:47:09.196Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:47:09.198Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:47:09.401Z [DEBUG] [TRAX]  Loaded 1841 trip updates with 34589 stop time updates.
2025-12-11T01:47:09.402Z [DEBUG] [TRAX]  Loaded 1024 vehicle positions.
2025-12-11T01:47:09.403Z [DEBUG] [TRAX]  Found 1841 trips with realtime updates.
2025-12-11T01:47:09.416Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:47:09.657Z [DEBUG] [TRAX]  Re-augmented 1841 trips.
2025-12-11T01:47:09.657Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:47:10.694Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:47:13.066Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:47:13.430Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:47:13.674Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:47:14.016Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:47:14.247Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:47:14.536Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:47:14.757Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:47:14.924Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:47:15.088Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:47:15.263Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:47:15.505Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:47:15.709Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:47:16.006Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:47:16.212Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:47:16.382Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:47:16.382Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:47:16.382Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:48:09.841Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:48:09.841Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:48:09.843Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:48:10.005Z [DEBUG] [TRAX]  Loaded 1842 trip updates with 34672 stop time updates.
2025-12-11T01:48:10.006Z [DEBUG] [TRAX]  Loaded 1033 vehicle positions.
2025-12-11T01:48:10.006Z [DEBUG] [TRAX]  Found 1842 trips with realtime updates.
2025-12-11T01:48:10.014Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:48:10.251Z [DEBUG] [TRAX]  Re-augmented 1842 trips.
2025-12-11T01:48:10.251Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:48:11.241Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:48:12.617Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:48:12.821Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:48:13.107Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:48:13.456Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:48:13.650Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:48:13.983Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:48:14.146Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:48:14.305Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:48:14.582Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:48:14.798Z [DEBUG] [TRAX]  Successfully processed service 994T
